Document Section,Content Type,Content (English),Content (Arabic),Data Point,Unit,Value,Change Rate vs Jan 2024 (%),Change Rate vs Dec 2024 (%),Date,Page Reference

Header,Title,Monthly Bulletin of Average Retail Prices of Major Important Building Materials,النشرة الشهرية لمتوسط أسعار التجزئة لأهم مواد البناء,N/A,N/A,N/A,N/A,N/A,Jan 2025,Page 1
Header,Agency,Central Agency for Public Mobilization and Statistics (CAPMAS),الجهاز المركزي للتعبئة العامة و الإحصاء,N/A,N/A,N/A,N/A,N/A,N/A,Page 1
Header,Issue Date,Jan 2025,يناير ٢٠٢٥,N/A,N/A,N/A,N/A,N/A,Jan 2025,Page 1
Header,Publication Date,Feb 2025,فبراير ٢٠٢٥,N/A,N/A,N/A,N/A,N/A,Feb 2025,Page 1

Methodology,Definition,Retail price is the commodity selling price by the retailers or related to them to the final consumer,سعر بيع السلعة بواسطة تجار التجزئة أو من في حكمهم إلى المستهلك النهائي,N/A,N/A,N/A,N/A,N/A,N/A,Page 5
Methodology,Price Collection,Collected from 15 to 17 of each month,تجمع الأسعار في الفترة من ١٥ حتى ١٧ من كل شهر,N/A,N/A,N/A,N/A,N/A,N/A,Page 5
Methodology,Sources,Three sources are selected upon the Governorates Main Cities levels,يتم إختيار ثلاثة مصادر على مستوى عواصم المحافظات,N/A,N/A,N/A,N/A,N/A,N/A,Page 5

Key Indicators,Material,Round Iron (10, 13, 16 mm) per ton,حديد التسليج المبروم (10, 13, 16 مم) للطن,Average Sale Price,Thousand L.E,39.35,10.6,0,Jan 2025,Page 6
Key Indicators,Material,Ordinary Portland cement packed in (50 kg),الأسمنت البورتلاند العادي المعباً في شيكارة (٥٠ كجم),Average Sale Price,L.E,140.21,25.3,0.5,Jan 2025,Page 6
Key Indicators,Material,Blank wood no (1) per cubic meter,خشب بياض نمرة (١) للمتر المكعب,Average Sale Price,Thousand L.E,13.15,39.7,1.4,Jan 2025,Page 7
Key Indicators,Material,Flat engraved white glass (3 mm) per flat meter,زجاج مسطح منقوش (٣مم) ابيض للمتر المسطح,Average Sale Price,L.E,235.81,32.3,0,Jan 2025,Page 7

Price Data,Iron,Round Iron 16 mm,حديد مبروم ١٦ مم,Price per Ton,L.E,39352.75,10.63,0,Jan 2025,Page 8
Price Data,Iron,Round Iron 13 mm,حديد مبروم ١٣ مم,Price per Ton,L.E,39352.75,10.63,0,Jan 2025,Page 8
Price Data,Iron,Round Iron 10 mm,حديد مبروم ١٠ مم,Price per Ton,L.E,39352.75,10.63,0,Jan 2025,Page 8

Price Data,Cement,Ordinary portland cement packed in a sack,بورتلاند عادي معابا في شيكارة,Price per 50kg,L.E,140.21,25.26,0.49,Jan 2025,Page 8
Price Data,Cement,White cement packed in a sack,أبيض معابا في شيكارة,Price per 50kg,L.E,189.12,10.79,0.22,Jan 2025,Page 8
Price Data,Cement,Iron cement packed in a sack,حديدى معابا فى شيكارة,Price per 50kg,L.E,89.42,14.03,0.21,Jan 2025,Page 8

Price Data,Cement Brick,Solid brick 25*12*6 cm,مصطخ ٦×١٢×٢٥ سم,Price per 1000 units,L.E,1785.24,45.23,0.18,Jan 2025,Page 8
Price Data,Cement Brick,Hollow brick 25*12*6 cm,مفرغ ٦×١٢×٢٥ سم,Price per 1000 units,L.E,1732.48,33.94,0.35,Jan 2025,Page 8
Price Data,Cement Brick,Hollow brick 40*20*12 cm,مفرغ ١٢×٤٠×٢٠ سم,Price per 1000 units,L.E,6431.25,210.42,0,Jan 2025,Page 8

Price Data,Sand & Gravel,Sand,رمل,Price per m³,L.E,225.81,33.07,1.5,Jan 2025,Page 8
Price Data,Sand & Gravel,Gravel,زلط,Price per m³,L.E,300.91,21.18,0.49,Jan 2025,Page 8

Price Data,Elsen,Elsen1,سن ١,Price per m³,L.E,336.28,29.61,1.63,Jan 2025,Page 8
