Category,Subcategory,Product Name,Product Description,Unit,July,August,September,October,November,December,Notes
Basic Materials,Cement,Portland Pozzolani Grade 42.5,High quality eco-friendly cement with 10% lower carbon emissions,Ton,3700,3700,3700,,,
Basic Materials,Cement,Cement finishing material (Pozzolani),High quality finishing material with 40% lower carbon emissions,Ton,2800,2800,2800,,,
Basic Materials,Cement,ECO Planet 5% (Bulk cement grade 42.5),High performance concrete with 50-60% lower carbon emissions,Ton,4200,4200,4200,,,
Basic Materials,Brick,Hollow clay block (10x26x20 cm, 3.90 kg),Lightweight clay brick with thermal and acoustic insulation,Thousand units,7752,7752,7752,,,
Finishes & Flooring,Wood-Plastic Composite (WPC),WPC Flooring,WPC flooring (HDPE 40%, high-density polyethylene),m²,3500,3850,3850,,,Price includes installation and accessories, excluding VAT
Finishes & Flooring,Wood-Plastic Composite (WPC),WPC Cladding,WPC cladding (HDPE 40%, high-density polyethylene),m²,2500,2750,2750,,,Price includes installation and accessories, excluding VAT
Finishes & Flooring,Wood Substitute,PVC wood substitute board (20cm width x 2.80m height),PVC board as natural wood substitute,Board,285,285,268,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone panels 61x42 cm,Natural stone slice stone panels,m²,1618,1618,1618,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone panels 105x21 cm,Natural stone slice stone panels,m²,2130,2130,2130,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone tiles 20x3 cm,Natural stone slice stone tiles,m²,1618,1618,1618,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone tiles 30x3 cm,Natural stone slice stone tiles,m²,1618,1618,1618,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone tiles 30x6 cm,Natural stone slice stone tiles,m²,1618,1618,1618,,,Price includes VAT
Finishes & Flooring,Natural Stone,Slice Stone tiles 30x7 cm,Natural stone slice stone tiles,m²,1618,1618,1618,,,Price includes VAT
