Indicator_ID,Indicator_Group,Indicator_Name,Unit,Time_Period,Value,Comparison_Period,Comparison_Value,Change_Rate,Source
GDP_1,Real Economy,GDP at current market prices,Billion EGP,Q3 2024/2025,4558.4,Q3 2023/2024,3575.8,27.5%,
GDP_2,Real Economy,GDP at constant market prices,Billion EGP,Q3 2024/2025,2088.0,Q3 2023/2024,1992.9,4.8%,
GDP_Sector_Total,Real Economy,Total GDP (Public + Private),Billion EGP,Q3 2024/2025,1969.7,Q3 2023/2024,1880.4,4.7%,
GDP_Sector_Public,Real Economy,Public sector GDP,Billion EGP,Q3 2024/2025,475.8,Q3 2023/2024,466.6,2.0%,
GDP_Sector_Private,Real Economy,Private sector GDP,Billion EGP,Q3 2024/2025,1493.9,Q3 2023/2024,1413.8,5.7%,
Value_Added_OtherManuf,Real Economy,Other manufacturing value added,Million EGP,Q3 2024/2025,259037,Q3 2023/2024,223251,16.0%,
Value_Added_Electricity,Real Economy,Electricity value added,Million EGP,Q3 2024/2025,41658,Q3 2023/2024,39388,5.8%,
Value_Added_Agriculture,Real Economy,Agriculture, forestry and hunting value added,Million EGP,Q3 2024/2025,219674,Q3 2023/2024,209822,4.7%,
Value_Added_Hotels,Real Economy,Hotels & Restaurants value added,Million EGP,Q3 2024/2025,84105,Q3 2023/2024,49230,70.8%,
Value_Added_Finance,Real Economy,Financial intermediation value added,Million EGP,Q3 2024/2025,59307,Q3 2023/2024,60539,-2.0%,
Value_Added_Telecom,Real Economy,Telecommunications value added,Million EGP,Q3 2024/2025,68025,Q3 2023/2024,71677,-5.1%,
GDP_Per_Capita,Real Economy,Annual GDP per capita,Thousand EGP,2023/2024,130.5,2022/2023,96.6,35.1%,
Companies_Established,Real Economy,Companies established,Count,July 2025,3904,July 2024,3330,17.2%,
Capital_Flow_Egyptians,Real Economy,Capital flow from Egyptians,Million EGP,July 2025,12720.87,,,80.0%,
Capital_Flow_Arabs,Real Economy,Capital flow from Arabs,Million EGP,July 2025,1579.44,,,9.9%,
Capital_Flow_Foreigners,Real Economy,Capital flow from foreigners,Million EGP,July 2025,1601.53,,,10.1%,
Companies_Agriculture,Real Economy,Companies in Agricultural sector,Count,July 2025,2391,,,61.24%,
Manufacturing_Index,Real Economy,Manufacturing and Extractive Industries Index,Index,June 2025,119.2,June 2024,109.6,8.8%,
Suez_Revenue,Real Economy,Suez Canal revenue,Billion EGP,July 2025,17.5,July 2024,15.3,14.4%,
Suez_Ships_Total,Real Economy,Ships passing Suez Canal,Count,July 2025,1047,July 2024,840,24.6%,
Suez_Ships_OilTankers,Real Economy,Oil tankers passing Suez Canal,Count,July 2025,638,July 2024,409,56.0%,
Suez_Ships_Other,Real Economy,Other ships passing Suez Canal,Count,July 2025,624,July 2024,431,44.8%,
Suez_Tonnage,Real Economy,Ships net tonnage in Suez Canal,Million ton,July 2025,44.9,July 2024,42.0,6.9%,
Petroleum_Production,Real Economy,Total petroleum production,Thousand ton,June 2025,4713.2,June 2024,5396.0,-12.7%,
Petroleum_Consumption,Real Economy,Total domestic petroleum consumption,Thousand ton,June 2025,6456.2,June 2024,6817.8,-5.3%,
Gas_Production,Real Economy,Natural Gas production,Thousand ton,June 2025,2569.2,June 2024,2144.0,19.8%,
Gas_Consumption,Real Economy,Natural Gas domestic consumption,Thousand ton,June 2025,3393.2,June 2024,3063.0,10.8%,
