topic,content,source_document,page_number
Preface (August 2025),"Central Agency for Public Mobilization And Statistics is the official & key source of disseminating and providing data & information for the State's Agencies, Authorities, Business Communitites, NGOs, Research Centers and Researchers & Academics students, which contributes in planning, development , evaluation , preparing studies and policies designing & decision making .
CAPMAS keens to gather all the important data & indicators on Social – Economic and Demographic fields in one monthly publication providing the latest data in these fields in a simple form supported with graphs.
CAPMAS is pleased to receive any comments or suggestions to develop such important publication and appreciates data users continue reviewing publication and specilaized studies that are issued periodically.
Visit CAPMAS Website:www.capmas.gov.eg
Best Regards,,,
Gen . / Khairat Mohamed Barakat
CAPMAS President
محـتــوىـات النشــــــــــرة (أغسطس ٢٠٢٥)
Bulletin Contents (August 2025)
Informatics monthly statistical bulletin المعلوماتية نشــــرة إحصائية شهرية
(تابع) محتويات النشـرة (أغسطس ٢٠٢٥)
Cont. Bulletin Contents (August 2025)
Informatics monthly statistical bulletin المعلوماتية نشـرة إحصائيـة شهریـة
(أغسطس ٢٠٢٥)
تعريفــات
الناتـج الحــلى :إجمالي قيمة ما أنتجه المجتمع من سلع وخدمات مستبعد منه قيمة المستلزمات السلعية والخدمية مقوما بالأسعار الجارية.
    الناتج المحلي الإجمالي بسعر الأسعار الجارية = الناتج المحلي الإجمالي بسعر السوق – صافي الضرائب غير المباشرة = مجموع الناتج المحلي (القيمة المضافة) للقطاعات في الاقتصاد القومي.
    الناتج المحلي الإجمالي بسعر السوق = الإستهلاك الحكومى + الإستهلاك الخاص + الاستثمار العام + الاستثمار الخاص+ الصادرات السلعية والخدمية – الواردات السلعية والخدمية.
    معدل الإدخار المحلي هو قيمة الإدخار المحلي منسوبا إلى الناتج المحلي الإجماليالرقم القياسى للصناعات التحويلية والاستخراجية :هو مؤشر قصير المدى يظهر التغيرات التي تحدث فى قيم انتاج الصناعات التحويلية والاستخراجية خلال شهر مقارنة بشهر سنة الأساس (٢٠١٣/٢٠١٣).الأرقـام القياسية لأسعار المستهلكين :نصور التغير فى مستويات الأسعار للسلع والخدمات فى أسواق التجزئة كأحد المؤشرات الهامة لقياس التضخم كما يمثل أحد الأدوات الضرورية فى حساب الدخل القومى بالأسعار المثبتة وكذا قياس التغير فى مستويات الأجور الحقيقية وهى الأجور الفعلية بعد تخليصها من أثر تغيرات الأسعار.الرقـــم القياسى لأسعار الانتاجــين :أسعار المنتجين هى الأسعار الأساسية التى تدفع للمنتجين المحليين مقابل السلع والخدمات التى ينتجونها عند التسليم من محل الإنتاج، ويعبـر عن قياس التغيرات فى مستويات أسعار المنتجين للسلع والخدمات ويعتبر أحد المؤشرات الاقتصادية قصيرة المدى للتضخم.
    ويتم الإعتماد عليه من قبل العديد من المنظمات الدولية مثل صندوق النقد الدولى والبنك المركزى المصرى للمقارنة والرقابة الاقتصادية وتقييم السياسات النقدية.
الناتـج الحــلى :إجمالي قيمة ما أنتجه المجتمع من سلع وخدمات مستبعد منه قيمة المستلزمات السلعية والخدمية مقوما بالأسعار الجارية.
    الناتج المحلي الإجمالي بسعر الأسعار الجارية = الناتج المحلي الإجمالي بسعر السوق – صافي الضرائب غير المباشرة = مجموع الناتج المحلي (القيمة المضافة) للقطاعات في الاقتصاد القومي.
    الناتج المحلي الإجمالي بسعر السوق = الإستهلاك الحكومى + الإستهلاك الخاص + الاستثمار العام + الاستثمار الخاص+ الصادرات السلعية والخدمية – الواردات السلعية والخدمية.
    معدل الإدخار المحلي هو قيمة الإدخار المحلي منسوبا إلى الناتج المحلي الإجمالي
الرقم القياسى للصناعات التحويلية والاستخراجية :هو مؤشر قصير المدى يظهر التغيرات التي تحدث فى قيم انتاج الصناعات التحويلية والاستخراجية خلال شهر مقارنة بشهر سنة الأساس (٢٠١٣/٢٠١٣).
الأرقـام القياسية لأسعار المستهلكين :نصور التغير فى مستويات الأسعار للسلع والخدمات فى أسواق التجزئة كأحد المؤشرات الهامة لقياس التضخم كما يمثل أحد الأدوات الضرورية فى حساب الدخل القومى بالأسعار المثبتة وكذا قياس التغير فى مستويات الأجور الحقيقية وهى الأجور الفعلية بعد تخليصها من أثر تغيرات الأسعار.
الرقـــم القياسى لأسعار الانتاجــين :أسعار المنتجين هى الأسعار الأساسية التى تدفع للمنتجين المحليين مقابل السلع والخدمات التى ينتجونها عند التسليم من محل الإنتاج، ويعبـر عن قياس التغيرات فى مستويات أسعار المنتجين للسلع والخدمات ويعتبر أحد المؤشرات الاقتصادية قصيرة المدى للتضخم.
    ويتم الإعتماد عليه من قبل العديد من المنظمات الدولية مثل صندوق النقد الدولى والبنك المركزى المصرى للمقارنة والرقابة الاقتصادية وتقييم السياسات النقدية.
المعلوماتية نشــــرة إحصائــية شهريـــــة
-I-",data3.md,1
Definition (Retail):,"Retail price is the commodity selling price by the retailers or related to them to the final consumer. These prices include all duties and taxes in addition to sales tax.
تعريف سعر المستهلك (التجزئة):
يقصد بسعر التجزئة سعر بيع السلعة بواسطة تجار التجزئة أو من في حكمهم إلى المستهلك النهائي وتكون تلك الأسعار شاملة كافة الرسوم والضرائب بما في ذلك ضريبة المبيعات.",compressed.md,1
Geographic range for price collection:,"Prices are collected from all the Republic governorates by the specialized delegates in CAPMAS offices in the Governorates Main Cities.
النطاق الجغرافي لجمع الأسعار:
تجمع الأسعار من جميع محافظات الجمهورية بواسطة المنـدوبين المتخصصين بمكاتب الجهاز الإحصائيـة بعواصم المحافظات.",compressed.md,1
Commodity Framework:,"The main represented commodities for building materials (Iron – Cement – Wood – bricks -... etc.).
الإطار السلعي:
أهم السلع الممثلة لمواد البناء (الحديد – الاسمنت – الأخشاب – الطوب – .. الخ).",compressed.md,1
Bulletin collection sources:,"Three sources are selected upon the Governorates Main Cities levels.
مصادر جمع البيان:
يتم إختيار ثلاثة مصادر على مستوى عواصم المحافظات.",compressed.md,1
Price collection Timing:,"Prices are collected from 15 to 17 of each month.
توقيت جمع الأسعار:
تجمع الأسعار في الفترة من ١٥ حتى ١٧ من كل شهر.",compressed.md,1
Periodicity:,"Publishing every month, includes the current month, the previous month to the current month, and previous month compared to the current month of previous year, Monthly and annual rates of change for these months.
الدورية:
يتم النشر كل شهر وتتضمن النشرة الشهر الحالي والشهر السابق للشهر الحالي والشهر المقبل للشهر الحالي من السنة السابقة ونسب التغير الشهرية والسنوية لهذه الشهور.",compressed.md,1
أهـم المؤشـرات العامة,"1- Average sale price of round Iron (10 , 13 , 16 mm) per ton 39.35 Thousand L.E in January 2025 unchanged from December 2024, while Average sale price was 44.03 Thousand L.E in January 2024, with decrease of 10.6%.
1- بلغ متوسط سعر بيع حديد التسليج المبروم (10 , 13 , 16 مم) للطن ٣٩,٣٥ ألف جنيه في يناير ٢٠٢٥ بدون تغير عن شهر ديسمبر ٢٠٢٤ بينما كان متوسط سعر البيع ٤٤,٠٣ ألف جنيه في يناير ٢٠٢٤ بنسبة انخفاض قدرها ١٠,٦%.
imgAverage selling price per consumer in Thousand L.E for Round rebar 10,13,16 mm from January 2024 to January 2025./img
2- Average sale price of ordinary Portland cement packed in (50 kg) 140.21 L.E in January 2025 compared to 139.52 L.E in December 2024, with an increase of 0.5%, while Average sale price 111.93 L.E in January 2024, an increase of 25.3%.
2- بلغ متوسط سعر بيع الأسمنت البورتلاند العادي المعباً في شيكـارة (٥٠ كجم ) ١٤٠,٢١ جنيه في يناير ٢٠٢٥ مقابل ١٣٩,٥٢ جنيه في شهر ديسمبر ٢٠٢٤ بنسبة زيادة قدرها ٥% بينما كان متوسط سعر البيع ١١١,٩٣ جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها ٢٥,٣%.
imgAverage selling price per consumer in L.E for Ordinary portland cement packed in a sack from January 2024 to January 2025./img
page_number- ٢ -/page_number
3- Average sale price of Blank wood no (1) per cubic meter was 13.15 Thousan L.E in January 2025 compared to 12.96 Thousand L.E in December 2024, with an Increase of 1.4%, while Average sale price was 9.41 Thousand L.E In January 2024,an increase of 39.7%.
٣ - بلغ متوسط سعر بيع خشب بياض نمرة (١) للمتر المكعب ١٣,١٥ ألف جنيه في شهر يناير ٢٠٢٥ مقابل ١٢,٩٦ ألف جنيه في شهر ديسمبر ٢٠٢٤ بنسبة زيادة قدرها %١,٤ بينما كان متوسط سعر البيع ٩,٤١ الف جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها %٣٩,٧
imgAverage selling price per consumer in Thousand L.E for Blank wood no (1)/img
4- Average sale price of flat engraved white glass ( 3 mm ) per flat meter 235.81 LE in January 2025 unchanged from December 2024, while Average sale price was 178.22 L.E in January 2024, with an increase of 32.3%.
٤ - بلغ متوسط سعر بيع زجاج مسطح منقوش (٣مم) ابيض للمتر المسطح ٢٣٥,٨١ جنيه في شهر يناير ٢٠٢٥ بدون تغير عن شهر ديسمبر ٢٠٢٤ بينما كان متوسط سعر البيع ١٧٨,٢٢ جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها %٣٢,٣
imgAverage selling price per consumer in L.E for Flat engraved white glass 3 mm/img
Average retail prices of the most important building materials
and monthly & annual change rates of
Republic Urban
January 2025
(Prices in L.E)
متوسط أسعار التجزئة لأهم مواد البناء
ونسب التغير الشهرية والسنوية
حضر الجمهورية
٢٠٢٥ يناير
(الأسعار بالجنيه )
page_number- ٤ -/page_number
Average retail prices of the most important building materials
and monthly & annual change rates of
Republic Urban
January 2025
(Prices in L.E)
متوسط أسعار التجزئة لأهم مواد البناء
ونسب التغير الشهرية والسنوية
حضر الجمهورية
٢٠٢٥ يناير
( الأسعار بالجنيه )
page_number- ٥ -/page_number
الجهاز المركزي للتعبئة العامة والإحصاء
العنوان : ٣ طريق صلاح سالم - مدينة نصر - القاهرة - جمهورية مصر العربية
صندوق بريد : ٢٠٨٦ مدينة نصر - القاهرة
فاكس : ٢٤٠٢٤٠٩٩
تلفون : ٢٤٠٢٣٠٣١
Central Agency for Public Mobilization and Statistics
Adress : 3 Salah Salem St. - Nasr City - Cairo - Egypt
P.O. Box : 2086 Nasr City - Cairo
Tel : ( +20 ) 24023031 Fax : ( +20 ) 24024099
Website : http://www.capmas.gov.eg الموقع الإلكتروني للجهاز :
Email : pres_capmas@capmas.gov.eg البريد الإلكتروني :
رقم الإيداع بدار الكتب : ٢٠١٤ / ١٨٨٧٩
imgLogo of CAPMAS (جهاز المركزي للتعبئة العامة والإحصاء) with three blue pyramids and a burst of blue dots./img
الجهـاز المركـزي
للتعبئة العامة و الإحصاء
C A P M A S
www.capmas.gov.eg
Pres_capmas@capmas.gov.eg
تصميم / ادارة تصميم المطبوعات و الرسم _العلاقات العامة
الادارة المركزية لشئون مكتب رئيس الجهاز
طبع بمطبعة الجهاز المركزي للتعبئة العامة و الإحصاء",compressed.md,1
Comprehensive Price Breakdown for Residential & Commercial Buildings,"Last Updated:December 2025Currency:Egyptian Pound (EGP)Note:Prices are subject to market fluctuations due to inflation, currency exchange rates, and material availability.
Construction Cost Summary by StageBuilding Materials PricesLabor CostsResidential Buildings - ApartmentsResidential Buildings - VillasCommercial BuildingsConstruction Stages BreakdownRegional Price Variations",egypt-construction-costs-2025.md,1
Cost Per Square Meter by Construction Stage (2025),Note:These are average construction costs. Land cost is NOT included.,egypt-construction-costs-2025.md,1
